,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Cabo San Lucas,22.8909,-109.9124,82.81,76,2,8.01,MX,1624690934
1,Nikolskoye,59.7035,30.7861,73.29,92,99,4.7,RU,1624691003
2,Rawlins,41.7911,-107.2387,53.82,87,20,3.44,US,1624691004
3,Albany,42.6001,-73.9662,67.32,82,100,3.74,US,1624690803
4,Alyangula,-13.8483,136.4192,74.88,68,99,16.53,AU,1624691004
5,Punta Arenas,-53.15,-70.9167,35.11,80,19,11.59,CL,1624691005
6,Shingū,33.7333,135.9833,77.92,85,100,2.24,JP,1624691005
7,Mahébourg,-20.4081,57.7,71.26,78,53,16.73,MU,1624691006
8,Bintulu,3.1667,113.0333,86.94,64,33,8.14,MY,1624691006
9,Nishihara,26.1842,127.7558,85.28,84,75,11.5,JP,1624691007
10,Ribeira Grande,38.5167,-28.7,64.8,88,75,4.61,PT,1624690760
11,Teya,60.3778,92.6267,60.21,82,100,6.76,RU,1624691008
12,Lebu,-37.6167,-73.65,44.24,79,8,8.1,CL,1624691008
13,Tura,25.5198,90.2201,82.63,82,83,6.71,IN,1624691009
14,Zhangjiakou,40.81,114.8794,85.06,32,88,3.04,CN,1624691009
15,Jamestown,42.097,-79.2353,73.02,65,75,8.99,US,1624690995
16,Provideniya,64.3833,-173.3,43.38,81,100,10.76,RU,1624691010
17,Terrace Bay,48.7834,-87.1,51.37,77,95,2.44,CA,1624691010
18,Dingle,10.9995,122.6711,87.49,66,100,3.09,PH,1624691011
19,Severo-Kuril'sk,50.6789,156.125,44.37,90,55,15.08,RU,1624691011
20,Ulety,51.3572,112.4849,76.5,48,100,5.28,RU,1624691012
21,San Fernando,15.0286,120.6898,92.14,44,97,9.15,PH,1624691012
22,Rikitea,-23.1203,-134.9692,73.65,78,3,6.15,PF,1624690743
23,Medeiros Neto,-17.3739,-40.2206,62.2,90,64,1.95,BR,1624691013
24,Arrondissement de Reims,49.1667,4.0833,65.21,94,90,0.0,FR,1624691013
25,Vila Velha,-20.3297,-40.2925,55.94,83,3,4.81,BR,1624690906
26,Roebourne,-20.7833,117.1333,72.97,28,17,18.25,AU,1624691014
27,Cape Town,-33.9258,18.4232,59.11,60,75,5.99,ZA,1624690723
28,Bredasdorp,-34.5322,20.0403,57.27,66,15,22.64,ZA,1624691015
29,Vaini,-21.2,-175.2,72.72,66,100,29.66,TO,1624690924
30,Port Hedland,-20.3167,118.5667,75.25,27,6,11.5,AU,1624691015
31,Tuktoyaktuk,69.4541,-133.0374,34.61,94,100,12.86,CA,1624690999
32,Djibouti,11.5,42.5,95.9,24,100,14.61,DJ,1624691016
33,Port Alfred,-33.5906,26.891,63.21,48,22,22.73,ZA,1624691016
34,Kathu,7.9178,98.3332,91.62,78,87,10.4,TH,1624691017
35,Terney,45.0503,136.6092,63.84,80,32,8.68,RU,1624691017
36,Mount Gambier,-37.8333,140.7667,52.7,76,100,11.25,AU,1624691018
37,George Town,5.4112,100.3354,89.6,66,40,3.44,MY,1624690807
38,Atuona,-9.8,-139.0333,79.21,73,9,16.51,PF,1624691018
39,Butaritari,3.0707,172.7902,83.73,75,100,13.51,KI,1624690954
40,Baruun-Urt,46.6806,113.2792,80.02,36,100,9.33,MN,1624691019
41,Elliot,-31.3333,27.85,47.41,39,3,12.75,ZA,1624691019
42,Pangnirtung,66.1451,-65.7125,38.84,75,100,8.19,CA,1624690744
43,Korla,41.7597,86.1469,87.55,18,100,6.51,CN,1624691020
44,Leningradskiy,69.3833,178.4167,39.38,67,2,14.79,RU,1624691021
45,Phan Thiet,10.9333,108.1,91.02,56,91,15.32,VN,1624691021
46,Bundaberg,-24.85,152.35,59.29,100,90,11.5,AU,1624691022
47,Poum,-20.2333,164.0167,74.57,77,100,13.53,NC,1624691022
