,City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,Country,Date
0,Yangi Marg`ilon,40.4272,71.7189,69.22,37,4,6.91,UZ,2021-06-27 00:51:15
1,Hambantota,6.1241,81.1185,75.54,100,20,5.75,LK,2021-06-27 00:51:16
2,Fort-Shevchenko,44.5086,50.263,85.33,39,98,14.27,KZ,2021-06-27 00:51:16
3,Bintulu,3.1667,113.0333,75.61,100,40,3.44,MY,2021-06-27 00:51:17
4,Vaini,-21.2,-175.2,75.36,73,20,13.8,TO,2021-06-27 00:51:17
5,Mitú,1.1983,-70.1733,71.51,98,96,1.34,CO,2021-06-27 00:51:18
6,Mushie,-3.0167,16.9,74.23,68,18,3.53,CD,2021-06-27 00:51:18
7,Arraial do Cabo,-22.9661,-42.0278,71.38,78,100,22.68,BR,2021-06-27 00:51:18
8,Yellowknife,62.456,-114.3525,79.32,34,40,18.41,CA,2021-06-27 00:50:13
9,Xinxiang,35.3089,113.8672,86.72,55,28,6.13,CN,2021-06-27 00:51:19
10,Kaeo,-35.1,173.7833,66.33,86,100,15.1,NZ,2021-06-27 00:51:19
11,Bogalusa,30.791,-89.8487,84.25,65,1,3.44,US,2021-06-27 00:51:20
12,Glencoe,-28.1783,30.147,41.09,27,5,1.57,ZA,2021-06-27 00:51:20
13,Pevek,69.7008,170.3133,43.14,60,100,7.63,RU,2021-06-27 00:51:21
14,Atuona,-9.8,-139.0333,78.76,67,7,21.12,PF,2021-06-27 00:51:21
15,Khatanga,71.9667,102.5,51.6,45,98,10.69,RU,2021-06-27 00:51:22
16,Usinsk,65.9939,57.5281,59.0,56,100,10.8,RU,2021-06-27 00:51:22
17,Ossora,59.2353,163.0719,53.92,78,100,6.93,RU,2021-06-27 00:51:23
18,Castro,-24.7911,-50.0119,58.15,83,1,4.85,BR,2021-06-27 00:51:23
19,Kashiwazaki,37.3667,138.55,73.81,76,99,4.05,JP,2021-06-27 00:51:24
20,São João da Barra,-21.6403,-41.0511,70.95,74,12,12.77,BR,2021-06-27 00:51:24
21,Saddiqabad,28.3062,70.1307,88.03,59,0,12.19,PK,2021-06-27 00:51:25
22,New Norfolk,-42.7826,147.0587,53.58,53,88,7.11,AU,2021-06-27 00:51:26
23,Jamestown,42.097,-79.2353,81.99,68,20,5.01,US,2021-06-27 00:48:39
24,Gambo,4.6482,22.2633,69.01,90,97,0.78,CF,2021-06-27 00:51:27
25,Rikitea,-23.1203,-134.9692,74.25,73,4,8.08,PF,2021-06-27 00:51:27
26,Hobart,-42.8794,147.3294,53.92,63,40,1.99,AU,2021-06-27 00:51:27
27,Pākāla,13.4667,79.1167,79.21,64,100,16.33,IN,2021-06-27 00:51:28
28,São Filipe,14.8961,-24.4956,75.85,85,23,7.47,CV,2021-06-27 00:51:29
29,Manali,13.1667,80.2667,83.07,77,100,7.43,IN,2021-06-27 00:51:30
30,Saint Paul Harbor,57.79,-152.4072,56.71,72,75,13.8,US,2021-06-27 00:51:30
31,Mahébourg,-20.4081,57.7,71.26,82,5,7.49,MU,2021-06-27 00:51:31
32,George Town,5.4112,100.3354,82.33,85,20,1.01,MY,2021-06-27 00:50:04
33,Mount Isa,-20.7333,139.5,58.77,44,60,13.8,AU,2021-06-27 00:51:31
34,Cape Town,-33.9258,18.4232,56.88,73,40,3.0,ZA,2021-06-27 00:47:23
35,Dikson,73.5069,80.5464,33.94,80,29,1.95,RU,2021-06-27 00:51:32
36,Kalmunai,7.4167,81.8167,79.72,76,100,3.85,LK,2021-06-27 00:51:32
37,Punta Arenas,-53.15,-70.9167,35.71,87,90,11.5,CL,2021-06-27 00:51:33
38,Puerto Ayora,-0.7393,-90.3518,72.55,90,6,5.99,EC,2021-06-27 00:51:34
39,Hithadhoo,-0.6,73.0833,81.73,74,77,9.37,MV,2021-06-27 00:51:34
40,Roald,62.5833,6.1333,55.17,58,20,8.05,NO,2021-06-27 00:51:35
41,Celestún,20.8667,-90.4,79.02,83,93,9.1,MX,2021-06-27 00:51:35
42,Kapaa,22.0752,-159.319,84.52,66,75,1.99,US,2021-06-27 00:51:35
43,Tazovsky,67.4667,78.7,44.26,62,0,13.73,RU,2021-06-27 00:51:36
44,Butaritari,3.0707,172.7902,82.92,76,100,14.58,KI,2021-06-27 00:51:36
45,Lagoa,39.05,-27.9833,66.88,76,2,10.27,PT,2021-06-27 00:51:37
46,Hermanus,-34.4187,19.2345,53.91,76,26,10.27,ZA,2021-06-27 00:51:37
47,Khani,41.9563,42.9566,62.17,95,25,2.82,GE,2021-06-27 00:51:38
48,Vincennes,48.85,2.4333,66.49,83,100,2.3,FR,2021-06-27 00:51:38
49,Bluff,-46.6,168.3333,50.81,87,89,13.8,NZ,2021-06-27 00:51:39
50,Kaitangata,-46.2817,169.8464,50.97,81,100,4.72,NZ,2021-06-27 00:51:39
51,Ankazoabo,-22.2833,44.5167,57.33,77,0,5.35,MG,2021-06-27 00:51:40
52,Pavino,59.1139,46.1414,64.08,87,42,4.09,RU,2021-06-27 00:51:40
53,Saint-Philippe,-21.3585,55.7679,71.15,80,8,6.85,RE,2021-06-27 00:51:41
54,Linares,-35.85,-71.6,37.92,84,0,3.6,CL,2021-06-27 00:48:09
55,Penzance,50.1186,-5.5371,56.41,91,100,14.05,GB,2021-06-27 00:51:42
56,Along,28.1667,94.7667,77.27,97,100,0.69,IN,2021-06-27 00:51:42
57,Kavieng,-2.5744,150.7967,84.34,69,99,6.82,PG,2021-06-27 00:47:06
